method,,split,weight,time
CovType,0,corr,0.0,2:03:19
CovType,0,corr,0.3,1:59:12
CovType,0,corr,0.6,2:13:58
CovType,0,corr,1.0,2:13:23
CovType,0,imp,0.1,2:14:34
CovType,0,imp,1.0,2:07:18
CovType,0,imp,10.0,2:04:03
CovType,0,imp,100.0,2:13:10
CovType,1,corr,0.0,2:09:43
CovType,1,corr,0.3,1:56:21
CovType,1,corr,0.6,2:12:37
CovType,1,corr,1.0,2:12:03
CovType,1,imp,0.1,2:13:25
CovType,1,imp,1.0,2:10:26
CovType,1,imp,10.0,2:17:22
CovType,1,imp,100.0,2:01:12
CovType,2,corr,0.0,2:08:16
CovType,2,corr,0.3,2:09:02
CovType,2,corr,0.6,2:09:39
CovType,2,corr,1.0,2:15:33
CovType,2,imp,0.1,2:08:28
CovType,2,imp,1.0,2:09:25
CovType,2,imp,10.0,2:08:28
CovType,2,imp,100.0,2:14:24
CovType,3,corr,0.0,2:21:27
CovType,3,corr,0.3,2:19:26
CovType,3,corr,0.6,2:17:45
CovType,3,corr,1.0,2:14:39
CovType,3,imp,0.1,2:10:13
CovType,3,imp,1.0,1:59:26
CovType,3,imp,10.0,2:17:16
CovType,3,imp,100.0,2:13:48
CovType,4,corr,0.0,2:18:31
CovType,4,corr,0.3,2:20:46
CovType,4,corr,0.6,2:20:31
CovType,4,corr,1.0,1:58:53
CovType,4,imp,0.1,2:02:03
CovType,4,imp,1.0,2:07:31
CovType,4,imp,10.0,2:06:28
CovType,4,imp,100.0,2:17:38
Epsilon,0,corr,0.0,1:45:01
Epsilon,0,corr,0.3,1:43:58
Epsilon,0,corr,0.6,1:44:28
Epsilon,0,corr,1.0,1:47:03
Epsilon,0,imp,0.1,1:43:48
Epsilon,0,imp,1.0,1:50:19
Epsilon,0,imp,10.0,1:51:53
Epsilon,0,imp,100.0,1:45:22
Epsilon,1,corr,0.0,1:46:29
Epsilon,1,corr,0.3,1:45:18
Epsilon,1,corr,0.6,1:46:14
Epsilon,1,corr,1.0,1:45:30
Epsilon,1,imp,0.1,1:48:25
Epsilon,1,imp,1.0,1:46:32
Epsilon,1,imp,10.0,1:51:42
Epsilon,1,imp,100.0,1:47:28
Epsilon,2,corr,0.0,1:42:07
Epsilon,2,corr,0.3,1:47:32
Epsilon,2,corr,0.6,1:47:44
Epsilon,2,corr,1.0,1:46:04
Epsilon,2,imp,0.1,1:47:50
Epsilon,2,imp,1.0,1:47:25
Epsilon,2,imp,10.0,1:42:39
Epsilon,2,imp,100.0,1:53:00
Epsilon,3,corr,0.0,1:44:21
Epsilon,3,corr,0.3,1:51:07
Epsilon,3,corr,0.6,1:46:51
Epsilon,3,corr,1.0,1:45:31
Epsilon,3,imp,0.1,1:48:29
Epsilon,3,imp,1.0,1:52:00
Epsilon,3,imp,10.0,1:48:27
Epsilon,3,imp,100.0,1:46:42
Epsilon,4,corr,0.0,1:45:41
Epsilon,4,corr,0.3,1:47:27
Epsilon,4,corr,0.6,1:47:56
Epsilon,4,corr,1.0,1:46:50
Epsilon,4,imp,0.1,1:49:52
Epsilon,4,imp,1.0,1:50:32
Epsilon,4,imp,10.0,1:46:23
Epsilon,4,imp,100.0,1:48:41
Gisette,0,corr,0.0,0:02:00
Gisette,0,corr,0.3,0:01:59
Gisette,0,corr,0.6,0:02:05
Gisette,0,corr,1.0,0:02:13
Gisette,0,imp,0.1,0:02:08
Gisette,0,imp,1.0,0:02:04
Gisette,0,imp,10.0,0:01:55
Gisette,0,imp,100.0,0:01:46
Gisette,1,corr,0.0,0:01:52
Gisette,1,corr,0.3,0:01:55
Gisette,1,corr,0.6,0:02:05
Gisette,1,corr,1.0,0:01:52
Gisette,1,imp,0.1,0:01:59
Gisette,1,imp,1.0,0:01:44
Gisette,1,imp,10.0,0:02:01
Gisette,1,imp,100.0,0:02:05
Gisette,2,corr,0.0,0:02:22
Gisette,2,corr,0.3,0:01:57
Gisette,2,corr,0.6,0:01:56
Gisette,2,corr,1.0,0:01:56
Gisette,2,imp,0.1,0:02:05
Gisette,2,imp,1.0,0:01:51
Gisette,2,imp,10.0,0:02:04
Gisette,2,imp,100.0,0:01:48
Gisette,3,corr,0.0,0:01:54
Gisette,3,corr,0.3,0:01:53
Gisette,3,corr,0.6,0:02:00
Gisette,3,corr,1.0,0:01:56
Gisette,3,imp,0.1,0:01:55
Gisette,3,imp,1.0,0:02:17
Gisette,3,imp,10.0,0:01:53
Gisette,3,imp,100.0,0:01:58
Gisette,4,corr,0.0,0:02:14
Gisette,4,corr,0.3,0:02:09
Gisette,4,corr,0.6,0:01:57
Gisette,4,corr,1.0,0:01:54
Gisette,4,imp,0.1,0:02:15
Gisette,4,imp,1.0,0:02:11
Gisette,4,imp,10.0,0:01:48
Gisette,4,imp,100.0,0:01:52
Letter,0,corr,0.0,0:03:53
Letter,0,corr,0.3,0:03:56
Letter,0,corr,0.6,0:03:54
Letter,0,corr,1.0,0:04:03
